family	ADR0B-10K-R1	ADR0B-10K-R2	ADR0B-10K-R3	ADR0B-10K-R4	ADR0B-10K-R5	ADR0B-15K-R1	ADR0B-15K-R2	ADR0B-15K-R3	ADR0B-15K-R4	ADR0B-15K-R5	ADR0B-1K-R1	ADR0B-1K-R2	ADR0B-1K-R3	ADR0B-1K-R4	ADR0B-1K-R5	ADR0B-20K-R1	ADR0B-20K-R2	ADR0B-20K-R3	ADR0B-20K-R4	ADR0B-20K-R5	ADR0B-25K-R1	ADR0B-25K-R2	ADR0B-25K-R3	ADR0B-25K-R4	ADR0B-25K-R5	ADR0B-2K-R1	ADR0B-2K-R2	ADR0B-2K-R3	ADR0B-2K-R4	ADR0B-2K-R5	ADR0B-3K-R1	ADR0B-3K-R2	ADR0B-3K-R3	ADR0B-3K-R4	ADR0B-3K-R5	ADR0B-4K-R1	ADR0B-4K-R2	ADR0B-4K-R3	ADR0B-4K-R4	ADR0B-4K-R5	ADR0B-5K-R1	ADR0B-5K-R2	ADR0B-5K-R3	ADR0B-5K-R4	ADR0B-5K-R5	AEMYA-10K-R1	AEMYA-10K-R2	AEMYA-10K-R3	AEMYA-10K-R4	AEMYA-10K-R5	AEMYA-15K-R1	AEMYA-15K-R2	AEMYA-15K-R3	AEMYA-15K-R4	AEMYA-15K-R5	AEMYA-1K-R1	AEMYA-1K-R2	AEMYA-1K-R3	AEMYA-1K-R4	AEMYA-1K-R5	AEMYA-20K-R1	AEMYA-20K-R2	AEMYA-20K-R3	AEMYA-20K-R4	AEMYA-20K-R5	AEMYA-25K-R1	AEMYA-25K-R2	AEMYA-25K-R3	AEMYA-25K-R4	AEMYA-25K-R5	AEMYA-2K-R1	AEMYA-2K-R2	AEMYA-2K-R3	AEMYA-2K-R4	AEMYA-2K-R5	AEMYA-3K-R1	AEMYA-3K-R2	AEMYA-3K-R3	AEMYA-3K-R4	AEMYA-3K-R5	AEMYA-4K-R1	AEMYA-4K-R2	AEMYA-4K-R3	AEMYA-4K-R4	AEMYA-4K-R5	AEMYA-5K-R1	AEMYA-5K-R2	AEMYA-5K-R3	AEMYA-5K-R4	AEMYA-5K-R5
Bacillales	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteroidales	234	446	102	115	248	367	644	141	189	397	20	38	5	8	26	432	849	190	236	506	609	1007	211	272	621	52	109	21	30	61	77	123	31	33	83	93	162	34	46	93	133	218	49	64	127	142	329	415	501	285	184	549	636	684	403	12	34	52	42	39	240	682	821	895	562	302	833	1068	1216	706	28	77	96	96	63	34	115	124	134	80	44	143	160	189	96	61	184	213	247	139
Campylobacterales	2	194	0	0	370	2	295	0	0	580	0	21	0	0	41	6	381	0	0	732	1	531	0	1	950	0	36	0	0	70	1	76	0	0	122	0	77	0	0	159	2	101	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridiales	291	174	354	417	226	409	246	572	580	326	38	17	34	41	18	578	341	723	774	439	702	472	916	981	585	65	30	59	77	34	81	61	122	105	68	117	92	155	154	93	161	84	200	187	121	1513	610	775	1025	924	2288	913	1151	1621	1412	141	51	78	123	96	3043	1240	1565	2164	1911	3804	1504	1999	2730	2351	336	134	161	219	192	478	165	242	304	302	641	241	354	428	358	754	289	383	544	469
Coriobacteriales	1	0	1	3	1	0	2	2	6	0	0	0	0	0	0	2	2	2	5	0	0	2	4	4	3	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	2	0	2	0	23	7	5	20	1	40	14	7	31	4	4	0	0	1	0	49	13	5	41	7	68	17	10	53	9	4	1	1	3	0	10	1	1	6	0	13	4	2	10	1	4	3	3	16	1
Erysipelotrichales	16	5	88	49	4	26	7	140	81	10	1	0	5	2	1	19	12	189	110	17	33	13	233	145	18	2	4	11	13	2	1	0	24	18	1	6	4	41	21	3	4	2	73	31	2	209	115	34	40	351	363	181	50	63	465	14	9	5	10	28	476	218	72	79	667	618	227	88	107	829	44	23	11	9	73	66	44	16	17	97	99	45	17	15	145	143	58	27	17	165
Lactobacillales	47	57	34	12	11	70	102	36	19	18	3	9	4	0	0	84	123	61	21	32	111	134	79	24	36	3	6	9	1	6	18	21	10	4	5	18	28	9	4	4	19	24	15	3	2	91	17	107	34	24	158	24	148	46	36	10	2	6	2	2	224	30	166	49	64	291	52	228	67	71	31	3	15	6	3	27	4	28	5	9	50	5	53	11	12	54	7	48	14	17
Unclassified	166	108	38	11	65	263	120	68	21	71	14	12	3	2	0	365	184	73	22	90	428	223	79	24	123	36	18	7	2	12	58	28	12	5	21	80	35	13	6	26	88	48	23	7	25	63	38	335	102	105	93	63	518	118	145	3	6	28	13	12	115	98	717	157	203	136	110	828	204	229	10	7	82	21	26	19	9	115	24	25	24	17	115	33	44	36	30	177	39	49
Verrucomicrobiales	1	1	447	0	58	3	1	677	0	71	0	0	46	0	5	4	1	897	0	92	5	1	1058	0	119	1	0	95	0	7	0	1	105	0	10	1	0	199	0	18	1	0	200	0	21	3	1045	1	36	345	4	1661	1	72	509	0	109	0	1	30	7	2099	2	78	688	6	2742	2	78	815	1	222	1	2	73	2	304	0	6	105	1	440	1	8	120	3	561	1	13	153
Caulobacterales	0	1	0	1	2	0	4	5	1	1	0	0	0	0	1	0	3	5	3	3	0	3	1	5	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	5	1	0	0	3	7	1	2	0	3	0	0	0	0	0	10	3	5	1	8	13	2	7	2	7	2	0	1	0	2	1	1	4	0	1	0	1	0	0	0	5	0	4	0	0
